dataset,kernel,interpolation,alpha,name,score
cats,lembut,bicubic -0.5,,00000001_000.jpg_lower.jpg,0.716442440527003
cats,lembut,bicubic -0.5,,00000001_005.jpg_lower.jpg,0.7200343799661837
cats,lembut,bicubic -0.5,,00000001_008.jpg_lower.jpg,0.652667408080454
cats,lembut,bicubic -0.5,,00000001_011.jpg_lower.jpg,0.6652962268421154
cats,lembut,bicubic -0.5,,00000001_012.jpg_lower.jpg,0.8194909594288405
cats,lembut,bicubic -0.5,,00000001_016.jpg_lower.jpg,0.8577957941796152
cats,lembut,bicubic -0.5,,00000001_017.jpg_lower.jpg,0.7863347188181694
cats,lembut,bicubic -0.5,,00000001_020.jpg_lower.jpg,0.7206431892357744
cats,lembut,bicubic -0.5,,00000001_024.jpg_lower.jpg,0.7151420822886541
cats,lembut,bicubic -0.5,,00000001_027.jpg_lower.jpg,0.8111316435473646
cats,lembut,bicubic -0.75,,00000001_000.jpg_lower.jpg,0.7118252240150995
cats,lembut,bicubic -0.75,,00000001_005.jpg_lower.jpg,0.7152840952915119
cats,lembut,bicubic -0.75,,00000001_008.jpg_lower.jpg,0.6496294703460328
cats,lembut,bicubic -0.75,,00000001_011.jpg_lower.jpg,0.6610735319722529
cats,lembut,bicubic -0.75,,00000001_012.jpg_lower.jpg,0.8156446707506521
cats,lembut,bicubic -0.75,,00000001_016.jpg_lower.jpg,0.8560047083985006
cats,lembut,bicubic -0.75,,00000001_017.jpg_lower.jpg,0.7825046812973634
cats,lembut,bicubic -0.75,,00000001_020.jpg_lower.jpg,0.717577355795922
cats,lembut,bicubic -0.75,,00000001_024.jpg_lower.jpg,0.7105021080719195
cats,lembut,bicubic -0.75,,00000001_027.jpg_lower.jpg,0.8056479532579601
cats,lembut,nearest,,00000001_000.jpg_lower.jpg,0.4760592319932103
cats,lembut,nearest,,00000001_005.jpg_lower.jpg,0.5059459248703262
cats,lembut,nearest,,00000001_008.jpg_lower.jpg,0.4223041049525049
cats,lembut,nearest,,00000001_011.jpg_lower.jpg,0.4297298567553738
cats,lembut,nearest,,00000001_012.jpg_lower.jpg,0.6097949114589762
cats,lembut,nearest,,00000001_016.jpg_lower.jpg,0.7938069059985712
cats,lembut,nearest,,00000001_017.jpg_lower.jpg,0.6081944397069732
cats,lembut,nearest,,00000001_020.jpg_lower.jpg,0.5402913702592097
cats,lembut,nearest,,00000001_024.jpg_lower.jpg,0.48058502081145865
cats,lembut,nearest,,00000001_027.jpg_lower.jpg,0.6442628545021614
cats,tajam,bicubic -0.5,,00000001_000.jpg_lower.jpg,0.5331495680722335
cats,tajam,bicubic -0.5,,00000001_005.jpg_lower.jpg,0.5324757486136203
cats,tajam,bicubic -0.5,,00000001_008.jpg_lower.jpg,0.4792731472039381
cats,tajam,bicubic -0.5,,00000001_011.jpg_lower.jpg,0.4822896496922375
cats,tajam,bicubic -0.5,,00000001_012.jpg_lower.jpg,0.6536048137359886
cats,tajam,bicubic -0.5,,00000001_016.jpg_lower.jpg,0.7282671397777553
cats,tajam,bicubic -0.5,,00000001_017.jpg_lower.jpg,0.6327857450155405
cats,tajam,bicubic -0.5,,00000001_020.jpg_lower.jpg,0.5566046560722396
cats,tajam,bicubic -0.5,,00000001_024.jpg_lower.jpg,0.5337400868660253
cats,tajam,bicubic -0.5,,00000001_027.jpg_lower.jpg,0.6358973439233886
cats,tajam,bicubic -0.75,,00000001_000.jpg_lower.jpg,0.5252220258410286
cats,tajam,bicubic -0.75,,00000001_005.jpg_lower.jpg,0.5239244750004756
cats,tajam,bicubic -0.75,,00000001_008.jpg_lower.jpg,0.4725572019805223
cats,tajam,bicubic -0.75,,00000001_011.jpg_lower.jpg,0.4745749612884918
cats,tajam,bicubic -0.75,,00000001_012.jpg_lower.jpg,0.6472059371073617
cats,tajam,bicubic -0.75,,00000001_016.jpg_lower.jpg,0.7250917041539475
cats,tajam,bicubic -0.75,,00000001_017.jpg_lower.jpg,0.625548620593759
cats,tajam,bicubic -0.75,,00000001_020.jpg_lower.jpg,0.5498554858035993
cats,tajam,bicubic -0.75,,00000001_024.jpg_lower.jpg,0.5256772144125406
cats,tajam,bicubic -0.75,,00000001_027.jpg_lower.jpg,0.6274517779906975
cats,tajam,nearest,,00000001_000.jpg_lower.jpg,0.2311084046228089
cats,tajam,nearest,,00000001_005.jpg_lower.jpg,0.2536995695996458
cats,tajam,nearest,,00000001_008.jpg_lower.jpg,0.20643168100313006
cats,tajam,nearest,,00000001_011.jpg_lower.jpg,0.2039883221702139
cats,tajam,nearest,,00000001_012.jpg_lower.jpg,0.34188663878608183
cats,tajam,nearest,,00000001_016.jpg_lower.jpg,0.6461871560264177
cats,tajam,nearest,,00000001_017.jpg_lower.jpg,0.37029794692347756
cats,tajam,nearest,,00000001_020.jpg_lower.jpg,0.3153677334309008
cats,tajam,nearest,,00000001_024.jpg_lower.jpg,0.22855359678003384
cats,tajam,nearest,,00000001_027.jpg_lower.jpg,0.4296245820258317
landscape,lembut,bicubic -0.75,,Coast-Test (1).jpeg_lower.jpg,0.7248288095709647
landscape,lembut,bicubic -0.75,,Coast-Test (86).jpeg_lower.jpg,0.7482826636039872
landscape,lembut,bicubic -0.75,,Coast-Test (87).jpeg_lower.jpg,0.742965232125586
landscape,lembut,bicubic -0.75,,Coast-Test (88).jpeg_lower.jpg,0.6501430197934573
landscape,lembut,bicubic -0.75,,Coast-Test (89).jpeg_lower.jpg,0.7786789482898374
landscape,lembut,bicubic -0.75,,Coast-Test (90).jpeg_lower.jpg,0.7219225797349621
landscape,lembut,bicubic -0.75,,Coast-Test (91).jpeg_lower.jpg,0.7945706525556199
landscape,lembut,bicubic -0.75,,Coast-Test (92).jpeg_lower.jpg,0.7478125154913048
